"p","q","case","s","neg2logL","k_total","T_eff","logLik","AIC","BIC","HQ","AICc","ICOMP","RICOMP","boundsF_stat","boundsF_p","boundsT_stat","boundsT_p","theta_hat","theta_se","a_hat","den","s_K","admissible","failed","error_msg","ICOMP_Misspec","spec_idx"
3,1,5,"s1",-270.98182006695,8,62,135.490910033475,-254.98182006695,-237.964744986589,-248.300487064626,-252.264838934874,-217.0955582949,NA,14.3145845281982,0.00067310134545994,-3.76439701564331,0.0431221994614191,-1.93372722363766,0.75009245295198,42.8983076229133,0.243003737893603,0.25,TRUE,FALSE,"",-216.181595137694,228
4,1,5,"s1",-268.311173511354,9,61,134.155586755677,-250.311173511354,-231.313308733795,-242.865732262647,-246.781761746648,-211.57722015834,NA,10.7467009429565,0.00456264996753418,-2.36328728941731,0.506719886522054,-2.64100720460615,1.35325499578164,53.5087537969823,0.186397005404377,0.2,TRUE,FALSE,"",-208.872208602266,229
5,1,5,"s1",-264.581858455969,10,60,132.290929227985,-244.581858455969,-223.638412833748,-236.38972552739,-240.092062537602,-205.299786058281,NA,10.4556604431665,0.00573438238641476,-1.77983059439547,0.771340036998131,-3.45712019368447,2.22636972900436,65.7164747010255,0.152501070470479,0.166666666666667,TRUE,FALSE,"",-201.949800197527,230
1,2,5,"s1",-267.482883654745,7,63,133.741441827373,-253.482883654745,-238.480940570004,-247.582546112224,-251.446520018381,-215.951829768402,NA,4.51921003161453,0.282515736745032,-2.0937379725016,0.639690141469815,-2.21662530917258,1.17930973890285,47.2120721008383,0.155754238022763,0.666666666666667,FALSE,FALSE,"",-215.030698114448,231
2,2,5,"s1",-267.511351047914,8,63,133.755675523957,-251.511351047914,-234.366273236781,-244.768108142175,-248.844684381247,-212.571956365853,NA,4.26021938548175,0.32322121692356,-2.07355435503135,0.648849662599921,-2.14291699708385,1.23937103540752,46.1080471715736,0.15769678194108,0.5,FALSE,FALSE,"",-212.421905756383,232
3,2,5,"s1",-275.166151025535,9,62,137.583075512768,-257.166151025535,-238.021941560129,-249.649651397921,-253.704612563997,-217.344608445324,NA,6.35234247381503,0.0958946689790058,-2.43886483019294,0.468794398168011,-2.18978625515374,1.09500012411445,46.849948136365,0.17572912517592,0.4,TRUE,FALSE,"",-215.075502189295,233
4,2,5,"s1",-270.958329169154,10,61,135.479164584577,-250.958329169154,-229.849590527421,-242.68561667059,-246.558329169154,-209.938174908475,NA,5.27727929792346,0.184590276155432,-1.65691264333935,0.813512005700659,-2.93289238734658,1.95024552597637,57.9972611920155,0.139201675775538,0.333333333333333,FALSE,FALSE,"",-204.91903675483,234
5,2,5,"s1",-270.37967845971,11,60,135.189839229855,-248.37967845971,-225.341888275267,-239.368332238273,-242.87967845971,-206.578881482736,NA,4.89667460705483,0.229142067630344,-0.606160601232273,0.980129088290007,-7.49732454452985,12.4705698965527,126.575899885699,0.0564053385848928,0.285714285714286,FALSE,FALSE,"",-201.159212167283,235
1,3,5,"s1",-272.016051769381,8,62,136.008025884691,-256.016051769381,-238.998976689021,-249.334718767058,-253.299070637306,-216.886319873943,NA,3.53532525812723,0.460242355843436,-2.14131300530058,0.61710638775822,-1.87302875576338,0.9822958560515,42.2074408153667,0.160348820732149,0.75,FALSE,FALSE,"",-216.065614215378,236
2,3,5,"s1",-272.072444830699,9,62,136.03622241535,-254.072444830699,-234.928235365293,-246.555945203085,-250.610906369161,-214.005040788594,NA,3.49420551371384,0.468382782482844,-2.06710014045971,0.651786610232132,-1.7754013433368,1.02295484594295,40.7306749922069,0.166473139172713,0.6,FALSE,FALSE,"",-212.804986552795,237
3,3,5,"s1",-275.817497756333,10,62,137.908748878167,-255.817497756333,-234.546153905882,-247.465831503429,-251.503772266137,-214.589729466776,NA,4.16655510915666,0.339171296031621,-1.91218661974562,0.720226189684243,-2.34085217836771,1.34850220755011,49.1977137388114,0.151664265229911,0.5,FALSE,FALSE,"",-211.733705741547,238
4,3,5,"s1",-271.723537263114,11,61,135.861768631557,-249.723537263114,-226.503924757207,-240.623553514693,-244.335782161073,-207.600855099127,NA,3.84169919450142,0.399079500018328,-1.27146951970705,0.910549989020773,-3.32610638752345,2.70428140566703,64.0120036610978,0.114348621688568,0.428571428571429,FALSE,FALSE,"",-202.671099401683,239
